epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,1807.53,0.98143,1.62219,0.89964,1.04896,0.68102,0.69919,0.68258,0.4525,0.69585,0.71146,0.68186,0.39116,1.45119,2.12487,1.37028,1.12721,0.000154096,0.000154096,0.000154096
89,1828.58,0.97635,1.63618,0.90757,1.05519,0.72186,0.68616,0.69598,0.46383,0.69773,0.6859,0.68288,0.40295,1.48222,2.11319,1.33918,1.13982,0.000143097,0.000143097,0.000143097
90,1847.88,0.96285,1.62025,0.89745,1.04952,0.73244,0.70114,0.71837,0.46737,0.74111,0.70537,0.72206,0.41462,1.4376,2.08943,1.33035,1.13473,0.000132098,0.000132098,0.000132098
91,1865.57,1.23883,1.71771,1.15104,1.08364,0.72655,0.70716,0.70884,0.47435,0.73471,0.71027,0.71483,0.41722,1.4448,2.06159,1.36546,1.12205,0.000121099,0.000121099,0.000121099
92,1877.38,1.22644,1.68066,1.06849,1.06914,0.71164,0.7035,0.6999,0.46177,0.69356,0.69472,0.68499,0.39087,1.45502,2.20714,1.47305,1.1425,0.0001101,0.0001101,0.0001101
93,1891.36,1.21498,1.69894,1.05894,1.05744,0.70472,0.70532,0.70157,0.46187,0.67599,0.6924,0.68691,0.39787,1.42186,2.14026,1.3299,1.12548,9.91012e-05,9.91012e-05,9.91012e-05
94,1909.07,1.22905,1.65528,1.06023,1.06077,0.68532,0.67689,0.70016,0.47086,0.71532,0.6606,0.68615,0.39631,1.41582,2.12323,1.33506,1.13824,8.81023e-05,8.81023e-05,8.81023e-05
95,1927.24,1.25401,1.69181,1.0597,1.05427,0.70587,0.69674,0.70519,0.45999,0.7102,0.69744,0.70254,0.40239,1.41741,2.11666,1.32737,1.1419,7.71034e-05,7.71034e-05,7.71034e-05
96,1939.07,1.16518,1.62215,1.00625,1.03921,0.71057,0.7154,0.71937,0.4827,0.70199,0.70734,0.70221,0.41587,1.43751,2.15068,1.2945,1.14598,6.61045e-05,6.61045e-05,6.61045e-05
97,1950.35,1.15857,1.58306,0.9885,1.02468,0.69464,0.71777,0.70234,0.47337,0.69219,0.71511,0.69378,0.39543,1.42315,2.16193,1.31699,1.14098,5.51056e-05,5.51056e-05,5.51056e-05
98,1962.85,1.18955,1.6434,1.02369,1.04358,0.7209,0.6907,0.71767,0.4773,0.68359,0.71775,0.69189,0.40972,1.4154,2.10903,1.31323,1.13696,4.41067e-05,4.41067e-05,4.41067e-05
99,1974.29,1.19348,1.62662,1.00848,1.03184,0.72596,0.7069,0.72219,0.48049,0.6948,0.69044,0.69563,0.40374,1.41955,2.09184,1.30362,1.1394,3.31078e-05,3.31078e-05,3.31078e-05
100,1986.02,1.19154,1.58732,1.0013,1.03302,0.71662,0.71202,0.71058,0.47473,0.70253,0.69912,0.69209,0.40157,1.42583,2.11948,1.30694,1.13863,2.21089e-05,2.21089e-05,2.21089e-05
