epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,10516.4,0.60708,1.01493,0.4506,0.9411,0.83936,0.83724,0.8597,0.66331,0.83025,0.83268,0.84333,0.59628,0.98174,1.28962,0.87353,0.8817,0.000242087,0.000242087,0.000242087
81,10644.9,0.59552,0.99989,0.44154,0.94042,0.85327,0.82923,0.85635,0.66755,0.83844,0.81559,0.83619,0.59143,0.93871,1.29416,0.84964,0.86355,0.000231088,0.000231088,0.000231088
82,10773.8,0.5896,0.99271,0.43981,0.94217,0.88348,0.83715,0.86712,0.67629,0.869,0.8261,0.8499,0.60425,0.97127,1.33912,0.85746,0.86916,0.000220089,0.000220089,0.000220089
83,10902.7,0.58341,0.99221,0.43268,0.93844,0.8708,0.84533,0.87267,0.67896,0.86174,0.83752,0.86062,0.59766,0.96679,1.3994,0.83185,0.86204,0.00020909,0.00020909,0.00020909
84,11036.4,0.58172,0.97525,0.43024,0.93789,0.87091,0.84914,0.86958,0.6779,0.85696,0.83427,0.85196,0.58899,0.9386,1.30409,0.83792,0.85986,0.000198091,0.000198091,0.000198091
85,11167.1,0.57406,0.95473,0.42542,0.93109,0.82929,0.84825,0.85518,0.67119,0.81564,0.84163,0.83858,0.57193,0.93841,1.28455,0.91567,0.87214,0.000187092,0.000187092,0.000187092
86,11297.8,0.57946,0.94845,0.426,0.93404,0.85485,0.84444,0.87356,0.68487,0.89533,0.7884,0.85159,0.59469,0.96483,1.33399,0.84301,0.86441,0.000176094,0.000176094,0.000176094
87,11429.8,0.58056,0.96822,0.42275,0.93253,0.85828,0.8609,0.8824,0.67944,0.8779,0.80907,0.85885,0.59359,0.97345,1.30892,0.83205,0.86629,0.000165095,0.000165095,0.000165095
88,11561.2,0.57108,0.95315,0.41129,0.93217,0.84125,0.82575,0.85258,0.66986,0.82207,0.8197,0.83182,0.60008,0.94618,1.31408,0.84014,0.85661,0.000154096,0.000154096,0.000154096
89,11691.2,0.55443,0.92431,0.40547,0.92373,0.84601,0.83046,0.8651,0.67701,0.83874,0.82491,0.84723,0.6103,0.94242,1.31735,0.82635,0.8573,0.000143097,0.000143097,0.000143097
90,11825.9,0.55236,0.90816,0.40116,0.92304,0.85437,0.79475,0.85695,0.66375,0.84125,0.78364,0.83961,0.59923,0.98894,1.33643,0.8919,0.87243,0.000132098,0.000132098,0.000132098
91,11950.6,0.58146,0.88419,0.42842,0.88051,0.81631,0.8629,0.85449,0.66371,0.79799,0.85333,0.83471,0.59316,0.9954,1.45106,0.87527,0.89316,0.000121099,0.000121099,0.000121099
92,12078.2,0.58592,0.85992,0.42647,0.87907,0.84254,0.83839,0.85657,0.67033,0.83591,0.83283,0.85101,0.6034,0.97186,1.42317,0.82748,0.88168,0.0001101,0.0001101,0.0001101
93,12200.8,0.57944,0.82811,0.41741,0.87751,0.82849,0.84931,0.85543,0.66087,0.81811,0.84316,0.84638,0.59991,0.96403,1.37395,0.88067,0.87279,9.91012e-05,9.91012e-05,9.91012e-05
94,12323.6,0.54848,0.7891,0.39323,0.86135,0.83932,0.82211,0.85723,0.66813,0.82608,0.8111,0.83458,0.59573,0.9596,1.38921,0.83161,0.86897,8.81023e-05,8.81023e-05,8.81023e-05
95,12446.8,0.53597,0.77905,0.38615,0.86718,0.82223,0.87295,0.84875,0.66147,0.82721,0.87813,0.85465,0.60014,0.94781,1.38557,0.85442,0.87688,7.71034e-05,7.71034e-05,7.71034e-05
96,12569.8,0.55446,0.81317,0.40309,0.87566,0.84717,0.88061,0.86642,0.68195,0.84717,0.88061,0.87336,0.60633,0.93661,1.38512,0.86352,0.86706,6.61045e-05,6.61045e-05,6.61045e-05
97,12704.1,0.53555,0.77803,0.38875,0.86456,0.83579,0.86161,0.85902,0.67293,0.83579,0.86161,0.86267,0.59961,0.9342,1.37357,0.83919,0.88083,5.51056e-05,5.51056e-05,5.51056e-05
98,12835.4,0.52832,0.78282,0.38278,0.86697,0.84973,0.84601,0.85399,0.66683,0.84992,0.84317,0.85775,0.59157,0.94096,1.38688,0.85469,0.87364,4.41067e-05,4.41067e-05,4.41067e-05
99,12963.7,0.51189,0.7554,0.36922,0.85909,0.84993,0.84173,0.85513,0.67348,0.8452,0.8354,0.84486,0.6,0.9333,1.39118,0.8347,0.87447,3.31078e-05,3.31078e-05,3.31078e-05
100,13092.3,0.5135,0.77251,0.37424,0.86316,0.85032,0.84193,0.85837,0.67391,0.85828,0.84224,0.85798,0.60328,0.93265,1.3846,0.83173,0.87399,2.21089e-05,2.21089e-05,2.21089e-05
